# English voice loudness, measured at volume=1.0, sample='I finished the refactor and all the tests pass.'. RMS dBFS (higher=louder). Sorted loudest first.
rms_dbfs	name	voice_id
-17.6	Evan - Practical Guide	bd89603f-0efb-4721-a0c8-d10b3642acc3
-17.6	Harrison - Diligent Detailer	df89f42f-f285-4613-adbf-14eedcec4c9e
-17.7	Doris - Friend	0c8ed86e-6c64-40f0-b252-b773911de6bb
-17.7	Casper - Gentle Narrator	4f7f1324-1853-48a6-b294-4e78e8036a83
-17.7	Stephanie - Steady Professional	6a73e45f-3fa6-427c-97da-0fc6a7a1bc0d
-17.8	Pearl - Calm Solutionist	d6c52d6f-6478-47a2-ad54-dbc8f3335a2b
-17.8	Ray - Conversationalist	565510e8-6b45-45de-8758-13588fbaec73
-17.8	Griffin - Narrator	c99d36f3-5ffd-4253-803a-535c1bc9c306
-17.8	Amelia - Instructor	043cfc81-d69f-4bee-ae1e-7862cb358650
-17.9	Dallas - Fireside Friend	23e9e50a-4ea2-447b-b589-df90dbb848a2
-17.9	Alaric - Wizard	87748186-23bb-4158-a1eb-332911b0b708
-17.9	Oscar - Clear Specialist	22df7143-7987-4e15-a720-d65c69a443b3
-17.9	Sameer - Problem Solver	638efaaa-4d0c-442e-b701-3fae16aad012
-17.9	Morgan - Executive Expert	0ee8beaa-db49-4024-940d-c7ea09b590b3
-17.9	Grant - Friendly Support	d46abd1d-2d02-43e8-819f-51fb652c1c61
-17.9	Alfie - Composed Advisor	5e7d492a-5502-482e-b315-ebf587427806
-17.9	Oliver - Customer Chap	ee7ea9f8-c0c1-498c-9279-764d6b56d189
-18.0	Avery - Gaming Girl	cccc21e8-5bcf-4ff0-bc7f-be4e40afc544
-18.0	Wyatt - Dependable Dispatcher	5fc5c797-12c5-4f2b-ac9b-d4e53c08098f
-18.0	Darla - Resolution Agent	996a8b96-4804-46f0-8e05-3fd4ef1a87cd
-18.0	Skylar - Friendly Guide	db6b0ed5-d5d3-463d-ae85-518a07d3c2b4
-18.1	Travis - How To Guide	40104aff-a015-4da1-9912-af950fbec99e
-18.1	Valerie - Support Authority	af346552-54bf-4c2b-a4d4-9d2820f51b6c
-18.1	Tina - Customer Ally	91b4cf29-5166-44eb-8054-30d40ecc8081
-18.1	Mark - Promotion Lead	5619d38c-cf51-4d8e-9575-48f61a280413
-18.1	Wang - Guide	79bfcec0-720c-41f2-a33a-f12383e9627f
-18.1	Connie - Candid Conversationalist	8d8ce8c9-44a4-46c4-b10f-9a927b99a853
-18.2	Caroline - Southern Guide	f9836c6e-a0bd-460e-9d3c-f7299fa60f94
